"","SampleName","nCNV","meanCNVSize","Std.deviation","minCNVsize","maxCNVsize","nDel","meanDelSize","Del.Std.deviation","minDelSize","maxDelSize","nDup","meanDupSize","Dup.Std.deviation","minDupSize","maxDupSize","MeanTargetExons"
"146","Pseq_batch17_P-PSeq0067-P-A_1","56","17591.4107142857","36540.9978267384","320","152918","33","13571.6060606061","26801.1353245289","320","134620","23","23358.9565217391","47268.3319661447","320","152918","3.17857142857143"
"147","Pseq_batch17_P-PSeq0068-P-A_1","60","13754.3833333333","25891.47531727","320","138754","28","9253.32142857143","15269.6273767958","320","52574","32","17692.8125","32225.3923607211","320","138754","3.83333333333333"
"148","Pseq_batch17_P-PSeq0069-P-A_1","44","11258.5227272727","30920.04660372","320","192990","28","6398.82142857143","12788.0457229154","320","57565","16","19763","48219.0919422311","320","192990","3.77272727272727"
"149","Pseq_batch17_P-PSeq0070-P-A_1","43","13014.7209302326","32453.3817522668","320","202405","23","11496.8695652174","16970.4945883472","320","75394","20","14760.25","44594.9299972601","320","202405","3.25581395348837"
"150","Pseq_batch18_P-Pseq_0058-P-A_1","53","8761.79245283019","13735.8920510051","320","60943","32","9549.96875","15178.6231142404","320","60943","21","7560.7619047619","11442.9155633727","320","42017","3.30188679245283"
"151","Pseq_batch18_P-Pseq_0076-P-A_1","52","15558.1730769231","36105.649551261","320","189514","32","9529.0625","16477.6654291792","320","57565","20","25204.75","53823.9150044652","320","189514","3.03846153846154"
"152","Pseq_batch18_P-Pseq_0077-P-A_1","48","13257.25","24890.2530034242","320","151858","30","16652.0333333333","29485.518391101","320","151858","18","7599.27777777778","13247.0158362312","320","54713","2.79166666666667"
"153","Pseq_batch18_P-Pseq_0079-P-A_1","45","8065.4","9508.21255164569","320","28529","29","6471.93103448276","8624.69903794178","320","25488","16","10953.5625","10608.1027016694","320","28529","3.13333333333333"
"154","Pseq_batch18_P-Pseq_0081-P-A_1","44","12864.9318181818","25719.0887577715","320","151858","24","15577.0833333333","32546.3415227348","320","151858","20","9610.35","13939.3634879789","324","54713","3.06818181818182"
"155","Pseq_batch19_P-Pseq-0072-P-A_1","45","9767.64444444444","14774.2346873867","320","54713","28","8693.39285714286","11588.1785241087","320","42017","17","11537","19191.4379997956","320","54713","3.17777777777778"
"156","Pseq_batch19_P-Pseq-0078-P-A_1","51","12131.0784313725","18238.4109086764","320","82013","25","10270.8","14446.3706168712","320","52455","26","13919.8076923077","21404.2373281913","320","82013","3.54901960784314"
"157","Pseq_batch19_P-Pseq-0080-P-A_1","64","14672.765625","32976.7912517524","319","189514","40","14606.3","29230.630666986","320","134620","24","14783.5416666667","39113.7136753396","319","189514","3.03125"
"158","Pseq_batch19_P-Pseq-0082-P-A_1","49","10176.612244898","23953.2874073132","227","148579","25","6148.76","9731.49169911787","320","35058","24","14372.2916666667","32597.3814145423","227","148579","2.79591836734694"
"159","Pseq_batch19_P-Pseq-0083-P-A_1","55","10572.8909090909","24430.8702189371","319","159718","38","12344.0526315789","28443.5835275559","319","159718","17","6613.82352941176","10928.1376057136","320","34101","3.23636363636364"
"160","Pseq_batch19_P-Pseq-0084-P-A_1","57","11230.5438596491","19088.1217983389","320","121486","29","14383.5517241379","25030.878895","320","121486","28","7964.92857142857","9176.86259599762","320","34101","3.80701754385965"
"161","Pseq_batch19_P-Pseq-0085-P-A_1","73","8718.28767123288","14067.5609041189","320","54713","37","8034.16216216216","14566.5115257061","320","51121","36","9421.41666666667","13705.9101503694","320","54713","2.61643835616438"
"162","Pseq_batch19_P-Pseq-0086-P-A_1","54","10055.0740740741","14828.6704487431","320","68760","27","10662.2962962963","13306.3258895182","320","44732","27","9447.85185185185","16444.2121258133","320","68760","3.37037037037037"
"163","Pseq_batch19_P-Pseq-0087-P-A_1","51","10464.0784313725","23331.6866727145","320","155139","29","8775.27586206897","11927.2343276594","320","47704","22","12690.2272727273","33125.5868633467","320","155139","2.7843137254902"
"164","Pseq_batch19_P-Pseq-0088-P-A_1","56","10059.25","16452.1238366469","319","68760","34","9649.52941176471","14839.372112085","319","48325","22","10692.4545454545","19030.8302842351","320","68760","2.75"
"165","Pseq_batch19_P-Pseq-0089-P-A_1","45","8874.6","21718.8457800635","218","134620","23","6662.26086956522","12258.255059782","218","47704","22","11187.5","28634.8740004878","320","134620","2.75555555555556"
"166","Pseq_batch5_P-Pseq_0001-P-A_1","52","16300.3461538462","36909.6517622581","319","186936","24","10163.125","16153.2506576782","320","54713","28","21560.8214285714","47841.6775494412","319","186936","3.82692307692308"
"167","Pseq_batch5_P-Pseq_0002-P-A_1","50","8192.52","13454.2855629645","320","68900","33","8464.9696969697","14531.2984461232","320","68900","17","7663.64705882353","11471.6807069691","320","34101","3.02"
"168","Pseq_batch5_P-Pseq_0003-P-A_1","48","10853.1041666667","20403.5462648141","320","114641","26","10817.0769230769","15737.0590821108","320","52576","22","10895.6818181818","25236.8509513679","320","114641","3.58333333333333"
"169","Pseq_batch5_P-Pseq_0004-P-A_1","53","9373.71698113207","22008.7158070627","320","151858","35","10706.9428571429","26449.4438593182","320","151858","18","6781.33333333333","8468.90726335423","320","32932","2.67924528301887"
"170","Pseq_batch5_P-Pseq_0005-P-A_1","44","9374.81818181818","15074.9837753358","320","77767","23","7786.60869565217","9708.23304651137","320","27741","21","11114.2857142857","19463.9659066256","320","77767","3.45454545454545"
"171","Pseq_batch6_P-PSeq0006-P-A_1","60","13093.7333333333","23338.8447776406","320","138754","37","12919.8648648649","18974.0115877279","320","74625","23","13373.4347826087","29521.9554782016","320","138754","3.73333333333333"
